name,distance_km,moving_time,elevation_m,average_speed_kmh,sport_type,date,speed_range,level,elev_norm,dist_norm,speed_norm,difficulty_score
bikini,80.55,168.63,1040.0,28.66,Ride,2023-08-19 06:29:26,20–30 km/h,Intermediate,0.6310679611650486,0.49894619390032235,0.5395894428152493,0.5731357273156709
Evening Ride,3.44,13.15,19.0,15.71,Ride,2023-08-13 19:39:30,< 20 km/h,Beginner,0.011529126213592233,0.020952144805355816,0.1943481738203146,0.05091984131246578
Morning Ride,0.53,1.47,1.0,21.6,Ride,2023-08-12 10:21:07,20–30 km/h,Intermediate,0.0006067961165048543,0.0029134639226382347,0.3513729672087444,0.07145203067679279
shift in the force ,80.8,158.72,404.0,30.55,Ride,2023-08-12 07:31:32,> 30 km/h,Advanced,0.24514563106796117,0.5004959087527895,0.5899760063982938,0.3907167894394762
Fresh Daily ,76.7,156.75,722.0,29.35,Ride,2023-08-05 07:00:43,20–30 km/h,Intermediate,0.4381067961165049,0.4750805851723283,0.5579845374566782,0.47317448110128657
Evening Ride,5.71,23.67,55.0,14.5,Ride,2023-08-02 19:26:29,< 20 km/h,Beginner,0.03337378640776699,0.0350235556657575,0.16209010930418555,0.059611981764447854
Canceled meeting ,65.24,128.55,396.0,30.45,Ride,2023-07-21 06:32:07,> 30 km/h,Advanced,0.24029126213592233,0.4040416563352343,0.5873100506531592,0.3588201380991633
baby girl new hard tail ,17.17,70.35,113.0,14.64,Ride,2023-07-15 07:50:04,< 20 km/h,Beginner,0.06856796116504854,0.1060624845028515,0.16582244734737406,0.09926721540285452
Morning Ride,7.24,34.52,39.0,12.59,Ride,2023-07-12 09:23:39,< 20 km/h,Beginner,0.02366504854368932,0.04450781056285644,0.1111703545721141,0.04741893835512442
Afternoon Ride,6.23,25.73,33.0,14.52,Ride,2023-07-09 15:53:46,< 20 km/h,Beginner,0.020024271844660196,0.03824696255888917,0.16262330045321247,0.05401088478063935
Goooof balling ,70.63,142.45,631.0,29.76,Ride,2023-07-08 07:23:45,20–30 km/h,Intermediate,0.38288834951456313,0.43745350855442594,0.5689149560117304,0.43646321852595543
what can I climb in less than 2 hrs,56.63,121.47,730.0,27.97,Ride,2023-06-24 06:59:46,20–30 km/h,Intermediate,0.4429611650485437,0.3506694768162658,0.5211943481738203,0.4309202952039156
Woke up and body said fruku ,56.1,123.07,505.0,27.34,Ride,2023-06-10 07:02:59,20–30 km/h,Intermediate,0.30643203883495146,0.3473840813290355,0.5043988269794722,0.3583110092120808
Afternoon Ride,5.76,24.5,34.0,14.11,Ride,2023-06-09 14:17:47,< 20 km/h,Beginner,0.02063106796116505,0.03533349863625093,0.1516928818981605,0.05125415995108991
Morning Ride,5.99,24.37,26.0,14.74,Ride,2023-06-03 10:45:27,< 20 km/h,Beginner,0.015776699029126214,0.036759236300520706,0.16848840309250868,0.05261380102322105
Yorba ,73.79,156.53,685.0,28.29,Ride,2023-06-03 06:06:11,20–30 km/h,Intermediate,0.41565533980582525,0.4570419042896108,0.5297254065582511,0.45088532250144603
Stroll ,9.56,35.95,0.0,15.96,Ride,2023-05-29 09:02:05,< 20 km/h,Beginner,0.0,0.05888916439375155,0.2010130631831512,0.05786936195475571
70 miles solo w/ stroll ,104.08,215.63,348.0,28.95,Ride,2023-05-29 06:07:32,20–30 km/h,Intermediate,0.2111650485436893,0.6448053558145301,0.5473207144761397,0.4084882739114316
Morning Ride,4.44,10.32,18.0,25.8,Ride,2023-05-27 09:18:06,20–30 km/h,Intermediate,0.010922330097087379,0.027151004215224404,0.4633431085043989,0.1062750880139908
💩🤒,64.87,120.13,174.0,32.4,Ride,2023-05-27 07:08:51,> 30 km/h,Advanced,0.10558252427184465,0.40174807835358295,0.6392961876832844,0.30117492317865413
